mohit,257118,99.00
Jivesh,267009,99.00
vansh takayia,257178,98.70
rohan,257564,87.00
Rehan,257078,96.00
dipankar,257245,98.00
Nikita,257080,98.00
amit,257067,96.00
Ayush,257050,99.00
Virat,257146,95.00
Aarav,257101,94.50
Ishan,257102,92.00
Kabir,257103,88.50
Ananya,257104,97.20
Diya,257105,93.00
Arjun,257106,85.00
Sai,257107,91.50
Meera,257108,96.50
Rohan S,257109,79.00
Priya,257110,95.80
Aditya,257111,90.00
Kavya,257112,89.00
Vivaan,257113,94.00
Sara,257114,86.50
Reyansh,257115,93.50
Anvi,257116,97.00
Atharv,257117,84.00
Shanaya,257119,92.50
Krish,257120,81.00
Inaya,257121,95.00
Advik,257122,88.00
Myra,257123,96.00
Vihaan,257124,90.50
Riya,257125,94.00
Saiansh,257126,78.00
Kiara,257127,91.00
Reyan,257128,83.50
Siya,257129,97.50
Ayaan,257130,89.50
Navya,257131,92.00
Darsh,257132,87.50
Saanvi,257133,95.50
Yuvan,257134,80.00
Aadhya,257135,96.00
Pranav,257136,93.00
Mishka,257137,88.00
Shiv,257138,94.50
Anaisha,257139,91.50
Aarush,257140,85.50
Shanvi,257141,97.00
Ved,257142,82.00
Avni,257143,90.00
Shaurya,257144,86.00
Anika,257145,95.00
Reyansh K,257147,93.00
Jiya,257148,89.00
Aarav M,257149,92.00
Diya P,257150,87.00
Ishaan G,257151,94.00
Kavya R,257152,88.50
Vihaan S,257153,91.00
Myra T,257154,96.50
Arjun V,257155,84.00
Aadhya K,257156,95.50
Pranav N,257157,90.00
Mishka B,257158,87.00
Shivam L,257159,93.50
Ananya M,257160,97.00
Aarush P,257161,85.00
Shanvi D,257162,92.50
Ved K,257163,81.00
Avni S,257164,89.50
Shaurya R,257165,94.00
Anika T,257166,96.00
Reyansh V,257167,88.00
Jiya P,257168,91.50
Aarav K,257169,83.00
Diya N,257170,95.00
Ishaan S,257171,87.50
Kavya M,257172,94.50
Vihaan G,257173,90.50
Myra R,257174,86.50
Arjun S,257175,93.00
Aadhya V,257176,97.50
Pranav T,257177,82.00
Mishka P,257179,91.00
Shivam N,257180,88.00
Ananya G,257181,95.50
Aarush M,257182,84.50
Shanvi R,257183,92.00
Ved S,257184,80.00
Avni T,257185,90.00
Shaurya V,257186,86.00
Anika P,257187,94.00
Reyansh G,257188,93.00
Jiya M,257189,89.00
Aarav R,257190,91.00
Diya S,257191,87.00
Ishaan T,257192,94.00
Kavya V,257193,88.50
